"filename", "language", "Markdown", "YAML", "C++", "Swift", "XML", "JSON", "Properties", "CMake", "Ruby", "HTML", "Gradle", "Dart", "comment", "blank", "total"
"d:\Aldhaf\hr_odoo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Aldhaf\hr_odoo\lib\config.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\Aldhaf\hr_odoo\lib\config\env_dev.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 1, 8
"d:\Aldhaf\hr_odoo\lib\config\env_prod.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\Aldhaf\hr_odoo\lib\config\env_staging.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\Aldhaf\hr_odoo\lib\core.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 5, 1, 84
"d:\Aldhaf\hr_odoo\lib\core\data_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 3, 24
"d:\Aldhaf\hr_odoo\lib\core_package.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"d:\Aldhaf\hr_odoo\lib\demo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"d:\Aldhaf\hr_odoo\lib\env.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 2, 10
"d:\Aldhaf\hr_odoo\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 12, 4, 69
"d:\Aldhaf\hr_odoo\lib\main.backup.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"d:\Aldhaf\hr_odoo\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 57, 23, 237
"d:\Aldhaf\hr_odoo\lib\main_dev.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\Aldhaf\hr_odoo\lib\main_prod.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\Aldhaf\hr_odoo\lib\main_staging.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\Aldhaf\hr_odoo\lib\model\work_profile_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 14, 98
"d:\Aldhaf\hr_odoo\lib\module\about_app\bindings\about_app_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\Aldhaf\hr_odoo\lib\module\about_app\controller\about_app_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"d:\Aldhaf\hr_odoo\lib\module\about_app\view\about_app_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 1, 3, 54
"d:\Aldhaf\hr_odoo\lib\module\attendance_history_list\controller\attendance_history_list_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 5, 24
"d:\Aldhaf\hr_odoo\lib\module\attendance_history_list\view\attendance_history_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 6, 9, 157
"d:\Aldhaf\hr_odoo\lib\module\catatan.MD", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Aldhaf\hr_odoo\lib\module\checkin_detail\controller\checkin_detail_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 10, 18, 138
"d:\Aldhaf\hr_odoo\lib\module\checkin_detail\view\checkin_detail_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 3, 9, 124
"d:\Aldhaf\hr_odoo\lib\module\checkin_detail\widget\check_in_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"d:\Aldhaf\hr_odoo\lib\module\checkin_detail\widget\check_out_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 6, 36
"d:\Aldhaf\hr_odoo\lib\module\checkin_detail\widget\time_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 6, 42
"d:\Aldhaf\hr_odoo\lib\module\dashboard\controller\dashboard_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 441, 71, 59, 571
"d:\Aldhaf\hr_odoo\lib\module\dashboard\model\daily_work_hour_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"d:\Aldhaf\hr_odoo\lib\module\dashboard\view\dashboard_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 506, 25, 29, 560
"d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\clock_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 6, 38
"d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\dashboard_skeleton.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 4, 5, 77
"d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\summary_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 1, 35
"d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\swipe_attendance_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 3, 9, 147
"d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\today_attendance_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 15, 10, 251
"d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\user_info_header.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 5, 7, 80
"d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\working_hours_chart.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 3, 11, 164
"d:\Aldhaf\hr_odoo\lib\module\debug\controller\debug_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"d:\Aldhaf\hr_odoo\lib\module\debug\view\debug_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 6, 78
"d:\Aldhaf\hr_odoo\lib\module\location_detail\view\location_detail_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 4, 52
"d:\Aldhaf\hr_odoo\lib\module\login\binding\login_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"d:\Aldhaf\hr_odoo\lib\module\login\controller\login_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 23, 21, 154
"d:\Aldhaf\hr_odoo\lib\module\login\view\login_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 5, 7, 117
"d:\Aldhaf\hr_odoo\lib\module\main_navigation\bindings\main_navigation_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 7, 39
"d:\Aldhaf\hr_odoo\lib\module\main_navigation\controller\main_navigation_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 6, 8, 44
"d:\Aldhaf\hr_odoo\lib\module\main_navigation\view\main_navigation_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 2, 6, 91
"d:\Aldhaf\hr_odoo\lib\module\my_schedule\bindings\my_schedule_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"d:\Aldhaf\hr_odoo\lib\module\my_schedule\controller\my_schedule_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 369, 66, 59, 494
"d:\Aldhaf\hr_odoo\lib\module\my_schedule\model\my_schedule_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 4, 40
"d:\Aldhaf\hr_odoo\lib\module\my_schedule\model\schedule_request_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\Aldhaf\hr_odoo\lib\module\my_schedule\model\work_pattern_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 3, 22
"d:\Aldhaf\hr_odoo\lib\module\my_schedule\view\my_schedule_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 639, 45, 28, 712
"d:\Aldhaf\hr_odoo\lib\module\my_schedule\widget\rejected_schedule_detail_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 6, 8, 115
"d:\Aldhaf\hr_odoo\lib\module\my_schedule\widget\request_schedule_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 8, 13, 162
"d:\Aldhaf\hr_odoo\lib\module\notification\bindings\notification_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\Aldhaf\hr_odoo\lib\module\notification\controller\notification_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 13, 16, 87
"d:\Aldhaf\hr_odoo\lib\module\notification\model\notification_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 6, 7, 74
"d:\Aldhaf\hr_odoo\lib\module\notification\view\notification_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 10, 16, 162
"d:\Aldhaf\hr_odoo\lib\module\notification_settings\controller\notification_settings_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 4, 6, 48
"d:\Aldhaf\hr_odoo\lib\module\notification_settings\view\notification_settings_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 3, 57
"d:\Aldhaf\hr_odoo\lib\module\onboarding\bindings\onboarding_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\Aldhaf\hr_odoo\lib\module\onboarding\controller\onboarding_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 5, 8, 73
"d:\Aldhaf\hr_odoo\lib\module\onboarding\view\onboarding_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 9, 7, 150
"d:\Aldhaf\hr_odoo\lib\module\privacy_policy\view\privacy_policy_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 5, 91
"d:\Aldhaf\hr_odoo\lib\module\profile\controller\profile_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 6, 11, 58
"d:\Aldhaf\hr_odoo\lib\module\profile\model\profile_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 6, 43
"d:\Aldhaf\hr_odoo\lib\module\profile\view\profile_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323, 52, 20, 395
"d:\Aldhaf\hr_odoo\lib\module\splash\binding\splash_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 1, 9
"d:\Aldhaf\hr_odoo\lib\module\splash\view\splash_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 7, 48
"d:\Aldhaf\hr_odoo\lib\module\terms_and_conditions\view\terms_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 5, 95
"d:\Aldhaf\hr_odoo\lib\module\time_off_detail\bindings\time_off_detail_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\Aldhaf\hr_odoo\lib\module\time_off_detail\controller\time_off_detail_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"d:\Aldhaf\hr_odoo\lib\module\time_off_detail\view\time_off_detail_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 8, 9, 151
"d:\Aldhaf\hr_odoo\lib\module\time_off_form\controller\time_off_form_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 7, 13, 78
"d:\Aldhaf\hr_odoo\lib\module\time_off_form\view\time_off_form_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 2, 4, 77
"d:\Aldhaf\hr_odoo\lib\module\time_off_history_list\controller\time_off_history_list_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 7, 45
"d:\Aldhaf\hr_odoo\lib\module\time_off_history_list\view\time_off_history_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 5, 7, 147
"d:\Aldhaf\hr_odoo\lib\service\attendance_service\attendance_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 39, 36, 294
"d:\Aldhaf\hr_odoo\lib\service\auth_service\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 2, 5, 30
"d:\Aldhaf\hr_odoo\lib\service\cache_service\cache_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 29, 6, 69
"d:\Aldhaf\hr_odoo\lib\service\connectivity_service\connectivity_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 7, 38
"d:\Aldhaf\hr_odoo\lib\service\firebase_service\firebase_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 12, 17, 113
"d:\Aldhaf\hr_odoo\lib\service\leave_type_service\leave_type_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 3, 20
"d:\Aldhaf\hr_odoo\lib\service\local_notification_service\local_notification_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 7, 8, 61
"d:\Aldhaf\hr_odoo\lib\service\localization_service\localization_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 9, 46
"d:\Aldhaf\hr_odoo\lib\service\my_schedule_service\my_schedule_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 2, 10, 41
"d:\Aldhaf\hr_odoo\lib\service\notification_preference_service\notification_preference_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 5, 3, 28
"d:\Aldhaf\hr_odoo\lib\service\notification_service\notification_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 10, 9, 81
"d:\Aldhaf\hr_odoo\lib\service\storage_service\storage_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 5, 26
"d:\Aldhaf\hr_odoo\lib\service\theme_service\theme_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 8, 37
"d:\Aldhaf\hr_odoo\lib\service\time_off_service\time_off_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 3, 5, 51
"d:\Aldhaf\hr_odoo\lib\service\work_profile_service\work_profile_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 6, 12, 59
"d:\Aldhaf\hr_odoo\lib\setup.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"d:\Aldhaf\hr_odoo\lib\shared\localization\app_translations.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 363, 27, 27, 417
"d:\Aldhaf\hr_odoo\lib\shared\theme\theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 7, 7, 73
"d:\Aldhaf\hr_odoo\lib\shared\theme\theme_config.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"d:\Aldhaf\hr_odoo\lib\shared\theme\theme_dark.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 4, 6, 69
"d:\Aldhaf\hr_odoo\lib\shared\util\date_extension\date_extension.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 10, 51
"d:\Aldhaf\hr_odoo\lib\shared\util\dialog\confirmation_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 3, 46
"d:\Aldhaf\hr_odoo\lib\shared\util\dialog\show_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 6, 68
"d:\Aldhaf\hr_odoo\lib\shared\util\dialog\show_custom_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"d:\Aldhaf\hr_odoo\lib\shared\util\dialog\show_info_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 2, 63
"d:\Aldhaf\hr_odoo\lib\shared\util\focus_helper\focus_helper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"d:\Aldhaf\hr_odoo\lib\shared\util\input\input.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 7, 34
"d:\Aldhaf\hr_odoo\lib\shared\util\odoo_api\odoo_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 511, 50, 60, 621
"d:\Aldhaf\hr_odoo\lib\shared\util\platform_extension\platform_extension.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"d:\Aldhaf\hr_odoo\lib\shared\util\random_image\random_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 31
"d:\Aldhaf\hr_odoo\lib\shared\util\responsive\responsive.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 8, 38
"d:\Aldhaf\hr_odoo\lib\shared\util\show_loading\show_loading.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 3, 54
"d:\Aldhaf\hr_odoo\lib\shared\util\show_snackbar\show_snackbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 839, 0, 25, 864
"d:\Aldhaf\hr_odoo\lib\shared\util\string_extension\string_extension.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
