Date : 2025-11-24 11:58:06
Directory : d:\Aldhaf\hr_odoo
Total : 195 files,  14941 codes, 987 comments, 1679 blanks, all 17607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        141 |     12,773 |        785 |      1,264 |     14,822 |
| lib\module\debug\view                                                                                   |          1 |         72 |          0 |          6 |         78 |
| lib\module\location_detail                                                                              |          1 |         48 |          0 |          4 |         52 |
| lib\module\location_detail\view                                                                         |          1 |         48 |          0 |          4 |         52 |
| lib\module\login                                                                                        |          3 |        224 |         28 |         30 |        282 |
| lib\module\login\binding                                                                                |          1 |          9 |          0 |          2 |         11 |
| lib\module\login\controller                                                                             |          1 |        110 |         23 |         21 |        154 |
| lib\module\login\view                                                                                   |          1 |        105 |          5 |          7 |        117 |
| lib\module\main_navigation                                                                              |          3 |        139 |         14 |         21 |        174 |
| lib\module\main_navigation\bindings                                                                     |          1 |         26 |          6 |          7 |         39 |
| lib\module\main_navigation\controller                                                                   |          1 |         30 |          6 |          8 |         44 |
| lib\module\main_navigation\view                                                                         |          1 |         83 |          2 |          6 |         91 |
| lib\module\my_schedule                                                                                  |          8 |      1,321 |        125 |        117 |      1,563 |
| lib\module\my_schedule\bindings                                                                         |          1 |         10 |          0 |          1 |         11 |
| lib\module\my_schedule\controller                                                                       |          1 |        369 |         66 |         59 |        494 |
| lib\module\my_schedule\model                                                                            |          3 |         61 |          0 |          8 |         69 |
| lib\module\my_schedule\view                                                                             |          1 |        639 |         45 |         28 |        712 |
| lib\module\my_schedule\widget                                                                           |          2 |        242 |         14 |         21 |        277 |
| lib\module\notification                                                                                 |          4 |        263 |         29 |         40 |        332 |
| lib\module\notification\bindings                                                                        |          1 |          8 |          0 |          1 |          9 |
| lib\module\notification\controller                                                                      |          1 |         58 |         13 |         16 |         87 |
| lib\module\notification\model                                                                           |          1 |         61 |          6 |          7 |         74 |
| lib\module\notification\view                                                                            |          1 |        136 |         10 |         16 |        162 |
| lib\module\notification_settings                                                                        |          2 |         92 |          4 |          9 |        105 |
| lib\module\notification_settings\controller                                                             |          1 |         38 |          4 |          6 |         48 |
| lib\module\notification_settings\view                                                                   |          1 |         54 |          0 |          3 |         57 |
| lib\module\onboarding                                                                                   |          3 |        202 |         14 |         16 |        232 |
| lib\module\onboarding\bindings                                                                          |          1 |          8 |          0 |          1 |          9 |
| lib\module\onboarding\controller                                                                        |          1 |         60 |          5 |          8 |         73 |
| lib\module\onboarding\view                                                                              |          1 |        134 |          9 |          7 |        150 |
| lib\module\privacy_policy                                                                               |          1 |         86 |          0 |          5 |         91 |
| lib\module\privacy_policy\view                                                                          |          1 |         86 |          0 |          5 |         91 |
| lib\module\profile                                                                                      |          3 |        397 |         62 |         37 |        496 |
| lib\module\profile\controller                                                                           |          1 |         41 |          6 |         11 |         58 |
| lib\module\profile\model                                                                                |          1 |         33 |          4 |          6 |         43 |
| lib\module\profile\view                                                                                 |          1 |        323 |         52 |         20 |        395 |
| lib\module\splash                                                                                       |          2 |         47 |          2 |          8 |         57 |
| lib\module\splash\binding                                                                               |          1 |          6 |          2 |          1 |          9 |
| lib\module\splash\view                                                                                  |          1 |         41 |          0 |          7 |         48 |
| lib\module\terms_and_conditions                                                                         |          1 |         90 |          0 |          5 |         95 |
| lib\module\terms_and_conditions\view                                                                    |          1 |         90 |          0 |          5 |         95 |
| lib\module\time_off_detail                                                                              |          3 |        167 |          8 |         14 |        189 |
| lib\module\time_off_detail\bindings                                                                     |          1 |          8 |          0 |          1 |          9 |
| lib\module\time_off_detail\controller                                                                   |          1 |         25 |          0 |          4 |         29 |
| lib\module\time_off_detail\view                                                                         |          1 |        134 |          8 |          9 |        151 |
| lib\module\time_off_form                                                                                |          2 |        129 |          9 |         17 |        155 |
| lib\module\time_off_form\controller                                                                     |          1 |         58 |          7 |         13 |         78 |
| lib\module\time_off_form\view                                                                           |          1 |         71 |          2 |          4 |         77 |
| lib\module\time_off_history_list                                                                        |          2 |        167 |         11 |         14 |        192 |
| lib\module\time_off_history_list\controller                                                             |          1 |         32 |          6 |          7 |         45 |
| lib\module\time_off_history_list\view                                                                   |          1 |        135 |          5 |          7 |        147 |
| lib\service                                                                                             |         15 |        714 |        137 |        143 |        994 |
| lib\service\attendance_service                                                                          |          1 |        219 |         39 |         36 |        294 |
| lib\service\auth_service                                                                                |          1 |         23 |          2 |          5 |         30 |
| lib\service\cache_service                                                                               |          1 |         34 |         29 |          6 |         69 |
| lib\service\connectivity_service                                                                        |          1 |         31 |          0 |          7 |         38 |
| lib\service\firebase_service                                                                            |          1 |         84 |         12 |         17 |        113 |
| lib\service\leave_type_service                                                                          |          1 |         12 |          5 |          3 |         20 |
| lib\service\local_notification_service                                                                  |          1 |         46 |          7 |          8 |         61 |
| lib\service\localization_service                                                                        |          1 |         31 |          6 |          9 |         46 |
| lib\service\my_schedule_service                                                                         |          1 |         29 |          2 |         10 |         41 |
| lib\service\notification_preference_service                                                             |          1 |         20 |          5 |          3 |         28 |
| lib\service\notification_service                                                                        |          1 |         62 |         10 |          9 |         81 |
| lib\service\storage_service                                                                             |          1 |         20 |          1 |          5 |         26 |
| lib\service\theme_service                                                                               |          1 |         19 |         10 |          8 |         37 |
| lib\service\time_off_service                                                                            |          1 |         43 |          3 |          5 |         51 |
| lib\service\work_profile_service                                                                        |          1 |         41 |          6 |         12 |         59 |
| lib\shared                                                                                              |         48 |      5,853 |         98 |        492 |      6,443 |
| lib\shared\localization                                                                                 |          1 |        363 |         27 |         27 |        417 |
| lib\shared\theme                                                                                        |          3 |        129 |         11 |         16 |        156 |
| lib\shared\util                                                                                         |         16 |      1,810 |         50 |        146 |      2,006 |
| lib\shared\util\date_extension                                                                          |          1 |         41 |          0 |         10 |         51 |
| lib\shared\util\dialog                                                                                  |          4 |        200 |          0 |         13 |        213 |
| lib\shared\util\focus_helper                                                                            |          1 |          6 |          0 |          2 |          8 |
| lib\shared\util\input                                                                                   |          1 |         27 |          0 |          7 |         34 |
| lib\shared\util\odoo_api                                                                                |          1 |        511 |         50 |         60 |        621 |
| lib\shared\util\platform_extension                                                                      |          1 |          7 |          0 |          3 |         10 |
| lib\shared\util\random_image                                                                            |          1 |         29 |          0 |          2 |         31 |
